system:time_start,aet
"Mar 1, 2014",0.367
"Apr 1, 2014",0.293
"May 1, 2014",0.951
"Jun 1, 2014",0.986
"Jul 1, 2014",3.986
"Aug 1, 2014",3.675
"Sep 1, 2014",3.952
"Oct 1, 2014",2.407
"Nov 1, 2014",1.357
"Dec 1, 2014",1.277
"Jan 1, 2015",0.153
"Feb 1, 2015",0.072
"Mar 1, 2015",0.687
"Apr 1, 2015",0.468
"May 1, 2015",2.206
"Jun 1, 2015",4.024
"Jul 1, 2015",1.993
"Aug 1, 2015",1.675
"Sep 1, 2015",4.044
"Oct 1, 2015",2.252
"Nov 1, 2015",2.211
"Dec 1, 2015",0.219
"Jan 1, 2016",0.099
"Feb 1, 2016",0.059
"Mar 1, 2016",0.409
"Apr 1, 2016",0.156
"May 1, 2016",1.045
"Jun 1, 2016",2.552
"Jul 1, 2016",3.464
"Aug 1, 2016",3.444
"Sep 1, 2016",3.69
"Oct 1, 2016",3.02
"Nov 1, 2016",0.998
"Dec 1, 2016",0.42
"Jan 1, 2017",0.149
"Feb 1, 2017",0.099
"Mar 1, 2017",0.155
"Apr 1, 2017",0.1
"May 1, 2017",0.506
"Jun 1, 2017",3.333
"Jul 1, 2017",3.384
"Aug 1, 2017",3.154
"Sep 1, 2017",3.745
"Oct 1, 2017",3.582
"Nov 1, 2017",1.483
"Dec 1, 2017",0.531
"Jan 1, 2018",0.186
"Feb 1, 2018",0.125
"Mar 1, 2018",0.253
"Apr 1, 2018",0.287
"May 1, 2018",0.732
"Jun 1, 2018",3.521
"Jul 1, 2018",3.483
"Aug 1, 2018",2.386
"Sep 1, 2018",2.451
"Oct 1, 2018",1.28
"Nov 1, 2018",0.423
"Dec 1, 2018",0.207
"Jan 1, 2019",0.052
"Feb 1, 2019",0.038
"Mar 1, 2019",0.042
"Apr 1, 2019",0.356
"May 1, 2019",0.043
"Jun 1, 2019",3.836
"Jul 1, 2019",3.778
"Aug 1, 2019",3.797
"Sep 1, 2019",3.464
"Oct 1, 2019",3.324
"Nov 1, 2019",2.26
"Dec 1, 2019",0.932
"Jan 1, 2020",0.295
"Feb 1, 2020",0.186
"Mar 1, 2020",0.286
"Apr 1, 2020",0.255
"May 1, 2020",1.401
"Jun 1, 2020",4.422
"Jul 1, 2020",3.7
"Aug 1, 2020",3.789
"Sep 1, 2020",3.638
"Oct 1, 2020",3.607
"Nov 1, 2020",2.113
"Dec 1, 2020",0.652
"Jan 1, 2021",0.324
"Feb 1, 2021",0.225
"Mar 1, 2021",0.157
"Apr 1, 2021",0.702
"May 1, 2021",2.875
"Jun 1, 2021",3.563
"Jul 1, 2021",3.934
"Aug 1, 2021",3.218
"Sep 1, 2021",3.986
"Oct 1, 2021",3.39
"Nov 1, 2021",2.195
"Dec 1, 2021",1.644
"Jan 1, 2022",0.29
"Feb 1, 2022",0.137
"Mar 1, 2022",0.112
"Apr 1, 2022",0.215
"May 1, 2022",0.706
"Jun 1, 2022",3.231
"Jul 1, 2022",3.488
"Aug 1, 2022",3.782
"Sep 1, 2022",3.449
"Oct 1, 2022",3.622
"Nov 1, 2022",2.023
